,,Componente Teórica,,Componente Prática,,,
id,Avaliação Continua,Teste 1,Teste 2,Frequencia,TP1,TP2,Nota Final
60631,,18.2,,,20,,
61387,,17.4,,,20,,
60418,,17.1,,,20,,
60001,,12.7,,,20,,
59841,,15.2,,,19.9,,
59262,,14.9,,,19.9,,
59741,,15.2,,,19.8,,
59745,,13.4,,,19.8,,
60649,,19.3,,,19.6,,
60796,,17.4,,,19.5,,
60439,,15.2,,,19.5,,
60651,,14.9,,,19.5,,
56205,,14.2,,,19.5,,
60453,,10.3,,,19.5,,
60361,,18.9,,,19.4,,
60531,,15.2,,,19.4,,
60967,,14.5,,,19.4,,
59935,,13.1,,,19.4,,
59846,,12,,,19.4,,
60595,,17.4,,,19.2,,
60522,,16.3,,,19.2,,
60727,,15.2,,,19.2,,
60481,,14.5,,,19.2,,
60150,,13.1,,,19.2,,
60510,,12.4,,,19.2,,
60410,,12,,,19.2,,
60808,,18.5,,,19.1,,
60336,,9,,,19.1,,
59805,,10.7,,,18.9,,
60374,,19.3,,,18.8,,
60758,,18.5,,,18.8,,
59808,,17.4,,,18.8,,
60474,,14.2,,,18.8,,
60815,,12.7,,,18.8,,
60752,,10.7,,,18.8,,
59930,,9,,,18.8,,
59825,,8.3,,,18.7,,
60535,,6.3,,,18.6,,
59746,,12.7,,,18.5,,
59821,,18.2,,,18.4,,
60351,,16.7,,,18.4,,
60497,,12,,,18.3,,
60368,,16,,,18.2,,
60030,,12.7,,,18.2,,
59888,,7.6,,,18.1,,
60407,,14.9,,,18,,
60449,,12,,,17.9,,
57868,,18.2,,,17.8,,
60996,,15.2,,,17.8,,
60151,,10,,,17.8,,
59207,,6,,,17.8,,
59291,,16.3,,,17.7,,
59917,,14.2,,,17.7,,
60826,,12.4,,,17.7,,
60643,,10.3,,,17.7,,
60377,,9.3,,,17.7,,
60070,,8,,,17.7,,
60472,,17.4,,,17.6,,
60166,,15.6,,,17.6,,
59953,,11.3,,,17.6,,
59834,,12,,,17.5,,
60171,,18.2,,,17.4,,
60521,,18.2,,,17.4,,
60400,,12.7,,,17.4,,
60008,,7.6,,,17.3,,
61346,,14.2,,,17,,
60243,,11.7,,,17,,
60509,,11.7,,,16.8,,
53677,,8.6,,,16.8,,
59886,,10,,,16.7,,
59732,,16.3,,,16.6,,
60850,,16,,,16.4,,
59729,,13.4,,,16.4,,
60123,,12.7,,,16.4,,
60526,,13.1,,,16.2,,
60755,,12.4,,,16.2,,
59780,,12,,,16.2,,
60617,,11,,,16.2,,
59927,,8.3,,,16.2,,
60772,,15.2,,,16,,
61382,,5.1,,,15.9,,
60550,,11.7,,,15.5,,
60745,,11.3,,,15.4,,
59824,,7.6,,,15.4,,
60679,,7.6,,,15.4,,
60527,,13.8,,,15.2,,
59826,,6.3,,,15.1,,
60242,,9,,,15,,
55850,,6.7,,,14.9,,
60779,,6.7,,,14.8,,
60552,,8.3,,,14.5,,
59856,,9.6,,,14.4,,
60345,,4.8,,,14.4,,
60715,,11.3,,,14,,
60786,,15.2,,,13.8,,
59191,,11.7,,,13.8,,
60688,,9.6,,,13.8,,
60067,,7.3,,,13.8,,
60873,,10.3,,,13.5,,
60365,,9.3,,,13.5,,
59890,,8,,,13.5,,
60391,,4.8,,,13.5,,
60504,,8.6,,,13.4,,
60578,,14.5,,,13.2,,
59736,,12.4,,,13.2,,
61080,,12.4,,,13.2,,
59173,,7,,,13.2,,
59839,,16,,,13,,
59982,,10,,,13,,
51955,,7.6,,,13,,
60557,,6.7,,,13,,
59742,,6,,,12.9,,
60660,,10,,,12.5,,
59925,,10.3,,,12.4,,
60591,,8,,,12.4,,
59773,,8.3,,,12.3,,
60422,,4.1,,,12.2,,
